Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2026-03-17,ULTRACEMCO,-1,1,0.22980005,0.77019995,0.77019995,14,2020-02-12,2026-02-24,0.0015316695197764
2026-03-17,WIPRO,1,1,0.48675537,0.5132446,0.5132446,14,2020-02-12,2026-02-24,-0.0194249053061185
2026-03-18,ASIANPAINT,-1,1,0.4189421,0.5810579,0.5810579,14,2020-02-12,2026-02-24,0.0106782892528709
2026-03-18,BAJAJ-AUTO,-1,1,0.34837627,0.6516237,0.6516237,14,2020-02-12,2026-02-24,0.0176728869374314
2026-03-18,BAJAJFINSV,-1,1,0.30461532,0.6953847,0.6953847,14,2020-02-12,2026-02-24,0.0096354866325196
2026-03-18,BAJFINANCE,-1,1,0.30534005,0.69465995,0.69465995,14,2020-02-12,2026-02-24,0.0132396964347625
2026-03-18,BHARTIARTL,-1,1,0.19350344,0.80649656,0.80649656,14,2020-02-12,2026-02-24,0.0155446220109811
2026-03-18,BPCL,-1,1,0.41019964,0.58980036,0.58980036,14,2020-02-12,2026-02-24,0.0121647210883439
2026-03-18,BRITANNIA,-1,1,0.4921921,0.5078079,0.5078079,14,2020-02-12,2026-02-24,0.0046948356807512
2026-03-18,CIPLA,-1,1,0.277686,0.722314,0.722314,14,2020-02-12,2026-02-24,-0.0104532523276824
2026-03-18,COALINDIA,1,1,0.3734758,0.6265242,0.6265242,14,2020-02-12,2026-02-24,-0.0152514608825716
2026-03-18,DRREDDY,-1,-1,0.5293403,0.47065967,0.5293403,14,2020-02-12,2026-02-24,0.0085683124954241
2026-03-18,EICHERMOT,-1,1,0.26245707,0.7375429,0.7375429,14,2020-02-12,2026-02-24,0.0170043415340086
2026-03-18,GRASIM,-1,1,0.4085045,0.5914955,0.5914955,14,2020-02-12,2026-02-24,0.0148325003182208
2026-03-18,HCLTECH,1,1,0.37773842,0.6222616,0.6222616,14,2020-02-12,2026-02-24,0.0273256359808116
2026-03-18,HDFCBANK,-1,1,0.30567497,0.69432503,0.69432503,14,2020-02-12,2026-02-24,-0.0027207521847676
2026-03-18,HEROMOTOCO,-1,1,0.3377217,0.6622783,0.6622783,14,2020-02-12,2026-02-24,0.0132586367880485
2026-03-18,HINDUNILVR,-1,-1,0.5675054,0.43249458,0.5675054,14,2020-02-12,2026-02-24,-0.0106106490880586
2026-03-18,ICICIBANK,-1,1,0.21477813,0.7852219,0.7852219,14,2020-02-12,2026-02-24,0.0004656612702624
2026-03-18,INDUSINDBK,-1,1,0.45362878,0.5463712,0.5463712,14,2020-02-12,2026-02-24,0.0259487719578972
2026-03-18,INFY,1,-1,0.53341514,0.46658486,0.53341514,14,2020-02-12,2026-02-24,0.0277394358785325
2026-03-18,ITC,-1,1,0.10538089,0.8946191,0.8946191,14,2020-02-12,2026-02-24,-0.0026243264365924
2026-03-18,JSWSTEEL,-1,-1,0.5510118,0.4489882,0.5510118,14,2020-02-12,2026-02-24,0.0112235248494463
2026-03-18,KOTAKBANK,-1,1,0.45177484,0.54822516,0.54822516,14,2020-02-12,2026-02-24,0.0032067922242322
2026-03-18,LT,1,1,0.2983148,0.7016852,0.7016852,14,2020-02-12,2026-02-24,0.0183752729378998
2026-03-18,M&M,-1,1,0.26828486,0.73171514,0.73171514,14,2020-02-12,2026-02-24,0.0273898807847143
2026-03-18,MARUTI,-1,1,0.43075478,0.5692452,0.5692452,14,2020-02-12,2026-02-24,0.0058587727412888
2026-03-18,NESTLEIND,1,1,0.39617467,0.60382533,0.60382533,14,2020-02-12,2026-02-24,-0.0017399747646512
